"","estado","COS","mean","min","max","sd","npixeles"
"1","Aguascalientes",0.0339045775687054,6.387250247012,3.01796054840088,14.9731454849243,1.261634525553,655329
"2","Baja California",0.287327362893026,3.56552721659521,0.628734529018402,18.2345180511475,2.19875773499294,9948743
"3","Baja California Sur",0.206749717476513,2.75943097319787,0.707812070846558,15.4563398361206,1.44903620657692,9249971
"4","Campeche",0.858183093849973,14.9310281363853,2.58301019668579,32.9831275939941,2.53868337462424,7095863
"5","Chiapas",0.63191762990502,8.69237357351794,1.44161438941956,21.9890995025635,2.78938724357105,8975054
"6","Chihuahua",1.50501339712428,5.83796534084328,0.981341898441315,19.1244735717773,1.7089714041046,31826863
"7","Coahuila",1.37094670987447,8.34560731570596,0.861019492149353,38.4120750427246,3.04009779071692,20280451
"8","Colima",0.0463557450915371,8.28458234635029,3.29506635665894,18.9300746917725,1.67188587563243,690793
"9","Distrito Federal",0.0137413595048013,8.561989998916,2.29699969291687,32.8717269897461,3.10143080004678,198139
"10","Durango",0.965700435155621,7.46400595012651,1.61078786849976,32.861198425293,2.34762851524078,15972961
"11","Guanajuato",0.206867936459721,6.62414486365517,3.09413647651672,19.8941688537598,1.29605302666689,3855479
"12","Guerrero",0.537416724419483,8.32793730192916,1.24229645729065,20.778694152832,2.09200196898894,7966888
"13","Hidalgo",0.193352217574689,8.53262601012497,2.84776377677917,22.9283084869385,2.33001479676737,2797573
"14","Jalisco",0.563830486151159,7.32908566177006,1.63385939598083,18.5892868041992,1.65174618663588,9497597
"15","México",0.190920284600549,8.20935819604829,3.2009494304657,26.9476852416992,2.20586700884919,2871163
"16","Michoacán",0.4896811221948,8.25947054076103,1.64510858058929,30.6956481933594,2.60935323197858,7319411
"17","Morelos",0.0396359132814315,7.8105084992733,3.40619683265686,16.2926845550537,1.44764763771177,626505
"18","Nayarit",0.208995731761398,7.48826555011833,2.31298899650574,23.4661083221436,1.94948993090583,3445650
"19","Nuevo León",0.633272564464905,9.29377914576316,2.13066363334656,21.5482387542725,2.58069426114604,8412272
"20","Oaxaca",0.774942344392218,8.62006652370236,1.83708679676056,25.0846652984619,2.74595758235252,11098742
"21","Puebla",0.294623531109656,8.74328998995142,2.33331704139709,25.5113506317139,2.07415319138331,4160136
"22","Querétaro",0.0896462814632709,7.68737864120705,3.30441427230835,16.5559062957764,1.76847969401694,1439690
"23","Quintana Roo",0.830304002020439,18.9210544813594,2.73759245872498,32.0150756835938,3.61147953154143,5417598
"24","San Luis Potosí",0.622096479791002,9.64955873813491,3.14367270469666,21.4578552246094,2.32654935864153,7959124
"25","Sinaloa",0.371788856327355,6.66730465838982,1.3358758687973,21.1787338256836,1.80549475167716,6884320
"26","Sonora",0.935550331769138,4.72713013040397,0.269752949476242,22.6392555236816,2.34091077794652,24433438
"27","Tabasco",0.216445562844908,9.14181286844969,1.50604391098022,21.2842960357666,2.56375756753151,2923017
"28","Tamaulipas",0.768342274527784,9.39292565193098,1.81037402153015,23.6383686065674,2.60580836730875,10098778
"29","Tlaxcala",0.0331172960069433,7.92804273462035,3.07010936737061,20.6891670227051,2.0296727473966,515708
"30","Veracruz",0.685387535075532,9.90846157146283,2.03509640693665,34.8365936279297,2.40439238272314,8539746
"31","Yucatán",0.874092904091702,22.741833072859,3.1733729839325,38.7694053649902,5.24158890704639,4745119
"32","Zacatecas",0.546237583508825,6.99981022629902,2.27057433128357,18.9632816314697,1.72056337727771,9634081
